City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,youghal,51.95,-7.8506,285.12,65,29,6.54,IE,1681490884
84,amapa,1.0,-52.0,302.63,71,92,1.35,BR,1681490893
85,mataura,-46.1927,168.8643,279.83,96,3,1.77,NZ,1681490894
86,grand-lahou,5.1367,-5.0242,302.01,74,100,4.32,CI,1681490894
87,yerbogachen,61.2767,108.0108,271.5,86,100,6.99,RU,1681490894
88,kapaa,22.0752,-159.319,295.98,85,40,6.17,US,1681490895
89,matamoros,25.5333,-103.25,297.65,18,75,2.57,MX,1681490689
90,nabire,-3.3667,135.4833,297.62,89,93,1.38,ID,1681490895
91,luwuk,-0.9516,122.7875,298.97,82,100,1.27,ID,1681490896
92,vila franca do campo,37.7167,-25.4333,291.38,74,21,4.44,PT,1681490896
93,talnakh,69.4865,88.3972,249.93,99,100,2.27,RU,1681490896
94,qasigiannguit,68.8193,-51.1922,272.29,73,20,1.53,GL,1681490897
95,torbay,47.6666,-52.7314,278.31,86,100,6.17,CA,1681490897
96,oceanside,33.1959,-117.3795,288.92,71,100,3.09,US,1681490897
97,broken hill,-31.95,141.4333,290.03,59,100,9.11,AU,1681490898
98,lakatoro,-16.0999,167.4164,299.12,85,100,5.36,VU,1681490898
99,uyuni,-20.4597,-66.825,286.91,15,8,7.81,BO,1681490899
100,kirakira,-10.4544,161.9205,299.51,84,95,2.42,SB,1681490900
101,calais,50.9167,1.8333,284.87,71,100,5.18,FR,1681490760
102,faanui,-16.4833,-151.75,300.03,74,29,4.19,PF,1681490901
103,severo-kurilsk,50.6789,156.125,273.65,98,100,6.68,RU,1681490902
104,bud,39.447,-86.1758,296.68,64,80,2.43,US,1681490903
105,mawlaik,23.6333,94.4167,299.58,24,19,0.44,MM,1681490903
106,kandi,11.1342,2.9386,312.89,13,62,1.87,BJ,1681490904
107,copiapo,-27.3667,-70.3333,290.98,29,0,3.68,CL,1681490743
108,butaritari,3.0707,172.7902,300.64,78,85,4.4,KI,1681490904
109,carbonear,47.7332,-53.2148,278.84,79,97,6.71,CA,1681490621
110,ambon,-3.6954,128.1814,297.23,94,40,2.06,ID,1681490905
111,viedma,-40.8135,-62.9967,289.48,32,47,5.76,AR,1681490905
112,arman,59.7,150.1667,267.05,92,100,2.77,RU,1681490906
113,conceicao da barra,-18.5933,-39.7322,304.34,57,78,5.16,BR,1681490906
114,verkhnyaya inta,65.9811,60.3094,265.85,93,100,9.26,RU,1681490906
115,vaitape,-16.5167,-151.75,300.01,74,27,4.22,PF,1681490906
116,jimenez,28.3333,-105.4,297.06,20,23,6.36,MX,1681490907
117,chapais,49.7834,-74.8492,274.03,69,75,1.42,CA,1681490868
118,alamosa,37.4695,-105.87,283.14,25,40,7.72,US,1681490907
119,canico,32.6333,-16.85,295.21,66,40,7.72,PT,1681490908
120,barzas,55.7167,86.3167,263.08,87,75,3.63,RU,1681490908
121,tromso,69.6496,18.957,281.16,42,0,1.03,NO,1681490803
122,lagunas,-5.2269,-75.6753,304.24,60,100,1.55,PE,1681490909
123,peleduy,59.6289,112.7406,260.79,96,76,1.19,RU,1681490909
124,chernenko,44.365,39.3103,280.99,81,22,4.64,RU,1681490909
125,norman wells,65.282,-126.8329,260.17,85,100,4.63,CA,1681490909
126,lebu,-37.6167,-73.65,288.1,74,4,6.36,CL,1681490837
127,antsohihy,-14.8796,47.9875,297.28,91,7,1.15,MG,1681490910
128,geraldton,-28.7667,114.6,289.38,55,100,5.66,AU,1681490910
129,rawson,-43.3002,-65.1023,291.2,39,93,4.07,AR,1681490910
130,vondrozo,-22.8167,47.2833,293.07,98,24,0.93,MG,1681490911
131,gouyave,12.1646,-61.7296,302.58,70,20,10.29,GD,1681490911
132,otane,-39.8833,176.6333,287.04,94,68,0.99,NZ,1681490911
133,usinsk,65.9939,57.5281,265.91,96,99,5.12,RU,1681490912
